"","mean","sd"
"ATRIP",5.29352292392628,0.432935923891727
"PRPF8",8.60768388297536,0.512888829557988
"CAPNS1",9.30048003808532,0.653049366110111
"RPL35",11.2358507988951,0.502568010527158
"EIF3D",9.99913201661071,0.423037821746542
"RPL11",11.6381636583958,0.487299494479258
"FAU",12.0578520037577,0.365299850318078
"NARS",10.5063403019014,0.399023999954388
"RPL19",12.0595313184281,0.405646799859656
"SLC25A3",10.775487212181,0.437633532298618
"ABCF1",7.82696572562875,0.428209120509764
"DAD1",10.4005713244658,0.391244172990629
"SART1",6.94731384760313,0.449652578971207
"ILF2",8.88864522273747,0.549860986678489
"SPAG7",8.73561944672269,0.408842693297567
"IK",8.62889617475027,0.540272988779422
"SMNDC1",8.65335727680529,0.441575815586038
"ATP6V0B",10.3112689423687,0.42908723216379
"RPS25",11.8878888299945,0.377298885336129
"MSN",10.3069635508647,0.425679109044146
"ACTN4",8.00029494747815,0.618374889446384
"DSP",6.75356263455199,0.672801771279266
"AP2M1",8.55840039764091,0.7260171326578
"LASP1",10.0425925240494,0.376823146912687
"CSRP1",8.43816629541683,0.534007381726989
"NDRG1",9.67160114667815,0.551333289032283
"PFN1",10.5441781781913,0.585537990800283
"SOD1",11.0251947617353,0.466206072203158
"MARCKSL1",8.61160894149645,0.577542833755435
"GABARAP",11.4311086955207,0.304804346130885
"LDHA",11.2292272206689,0.401425496882641
"SSR2",10.2884634697816,0.39069829278642
"CTSA",9.93817076134099,0.642711899968339
"CD63",11.3620679145317,0.378437621656179
"LAPTM4A",11.1196233035199,0.340084074110666
"CD81",10.0200099711927,0.541818184744545
"PTTG1IP",10.7514563970929,0.436790652029325
"GLO1",9.42411807833903,0.413465260692374
"PPP2R1A",7.47235005664588,0.611304136883893
"NPC2",11.2299063945797,0.382332942186279
"DYNLL1",10.7491141146045,0.414970222488049
"GOT2",8.72205297793034,0.537839974244654
"ACADVL",9.17157495626856,0.552355460088602
"PPP1CC",10.2003862489332,0.399595131010329
"GPX1",11.3912866065359,0.51487405414097
"RAN",9.7134085484302,0.494519067185965
"DPYSL2",9.6250198654544,0.49436070699462
"CTSD",7.89281709185226,0.699927477639372
"ATF4",10.002123079304,0.398368762953099
"ANXA5",9.75772749265448,0.440615573044771
"ECH1",9.5654104646659,0.634586886178346
"SPARCL1",6.7889040557734,0.641476423358785
"CCT7",9.06319232277891,0.404694579999469
"PSME1",10.9582855415117,0.449010568056589
"PSMD8",8.80486810559976,0.510163731151475
"GSTP1",9.57252161152594,0.612761187750174
"HYOU1",7.63794495732597,0.543744435004291
"SNRPD2",10.3186601909827,0.55246847948275
"PLOD1",7.44287772527041,0.565815258341834
"PSMD2",9.05325012288012,0.435770467544914
"RAP1B",10.6460381953691,0.461305097411799
"BCAP31",9.52444307594108,0.478346410042798
"PPP1CA",9.60079165906753,0.488027104843614
"GNB2",8.87243754754866,0.52059443617618
"DHCR24",6.40365339357303,0.543339523866139
"S100A10",10.8454163068486,0.515530540262089
"CCT4",9.64897018330707,0.419855682558836
"CKB",6.90003815465745,0.6931132086386
"AHCY",8.60850166793827,0.714439474546951
"PPM1G",7.1426429427644,0.453081694244659
"LGALS3BP",6.7034871369039,0.626794503385108
"SLC3A2",7.66667078884764,0.730800501687743
"DEK",9.73828481173851,0.608371629955169
"RPL8",11.8780996029151,0.478097082303879
"MLF2",8.4437799990448,0.519148170455124
"ARPC1A",8.44004158221693,0.521666361730778
"SDCBP",11.5123179720755,0.37776049592733
"SEPHS2",10.0354192734249,0.426937891241616
"PPT1",10.6588635144264,0.454591551488644
"SERPING1",8.00305204665975,1.11050059636977
"HIF1A",10.6276483146282,0.534083007449468
"TRIM28",7.56831667792898,0.547546492676869
"SNX17",8.63060923785753,0.458999315851043
"SSR4",10.5819969516674,0.554946032340059
"HADHB",10.5291220574073,0.389356832111209
"RPN1",9.717744142383,0.349629903582191
"JUP",6.35552767994923,0.711610672507747
"TAF7",9.34671776125998,0.468717822251391
"BLCAP",9.26743565643711,0.407617395158864
"GNAI2",8.21514472442006,0.568223652218283
"MYL9",6.95018649335448,1.05918100206441
"CYC1",9.06610175949539,0.555949387024915
"TM9SF2",10.2383010799529,0.393125141747211
"SYNGR2",8.53566889538167,0.482641997007366
"ATP6V1B2",10.2625368362348,0.567892581910139
"RBBP7",9.06924735919933,0.381697300743063
"DAP",8.60024214727372,0.524762722151863
"COPB2",8.87700341209664,0.377863578271387
"LGALS1",10.5968021439097,0.751601737765149
"GPX4",10.4749215523399,0.583925736595822
"POLD2",6.61604192851366,0.522408810394546
"PGD",8.37690916559627,0.689879613714136
"COX8A",11.0939155610809,0.430886416199947
"MGAT1",8.15049368975171,0.429711990630976
"PJA2",9.12950098053347,0.504835357618788
"ECHS1",10.0056051677249,0.646964095346187
"PLP2",9.06554155304073,0.652036584507936
"HLA-DPB1",9.96539005900498,0.877169936886182
"HAX1",8.92610132274152,0.430834482794223
"ARCN1",9.03736053447518,0.4193860359534
"HTRA1",6.91889255156501,0.528681566260337
"LRPAP1",9.06250369309372,0.462235807658457
"SLC7A5",6.77004593107914,0.849140665080701
"CREG1",10.5344705174307,0.490010073494164
"PCNA",8.48626656846674,0.42888015407086
"HDAC1",9.18858903832261,0.410494630487239
"LGMN",7.21682541641543,0.589224565869598
"PLS3",6.96706285696918,0.396783383610792
"ERP29",9.78490412647879,0.474104546898744
"ILK",8.75329079007853,0.565500695626214
"DDX1",9.0153438927262,0.460745704817186
"PSMC4",8.53923726771107,0.451295872672881
"COX7A2L",10.18745479855,0.407871061268388
"PSMC3",7.61822403522776,0.64646651205334
"RALY",7.96381069271289,0.476321474317524
"AKR1B1",9.20135474480894,0.651210785572374
"PSMA5",9.48115297436303,0.379764554210008
"RAB5B",7.60628310255618,0.508074828622306
"ADRM1",7.97824036688048,0.467520093127287
"EIF4A3",9.26920376994081,0.418116855276287
"ENO2",5.42791461457962,0.701326714114128
"STK25",6.81477659783375,0.44443031418384
"IFITM2",12.0485082773847,0.531242398996021
"ATP5B",10.9383259653118,0.440429617880843
"RARS",8.33666120013486,0.417688736080327
"SNRPC",8.47792967776048,0.387738609374072
"ADIPOR2",8.27501280313241,0.3263256659399
"SLC9A3R1",9.38089859299095,0.65884024522658
"HNRNPF",7.76697861877243,0.493226432967438
"TPD52L2",8.4946790974767,0.415767510747148
"PSMD3",7.0455577314019,0.506452866742462
"ITGA5",6.2362234986216,0.606372452306569
"SGTA",6.77091285623997,0.4158601558066
"PSMB3",10.3604275378361,0.486319938478415
