,patient_1,patient_2,patient_3,patient_4,patient_5,patient_6,patient_7
TRIM16,7.246906,7.368928,8.069506,7.437315,7.344102,7.919389,7.22286
NCOR1,9.72732,9.56862,9.63746,9.703971,9.795706,9.67342,9.544196
RNU6-862P,5.205687,4.726265,4.716186,5.378597,5.405743,4.660646,4.082902
CENPV,7.391783,7.293429,7.405469,7.347461,7.310911,7.62357,7.565674
LRRC75A,6.490362,6.472646,6.583313,6.429551,6.408328,6.658373,6.958443
ZNF287,6.270279,6.174513,6.131131,5.844465,6.393803,6.231874,6.210607
ZNF624,6.866883,6.834487,6.938853,7.103345,6.936414,6.819326,6.781923
LOC102724543,6.285998,6.302585,6.137569,6.364894,6.211868,6.105581,6.18674
TNFRSF13B,7.799745,8.109794,7.686919,7.758996,7.954207,7.6995,7.73848
PLD6,7.151744,7.165218,6.867418,7.110721,7.128458,7.177275,7.539561
FLCN,7.812643,7.973176,7.960055,7.98545,7.876348,8.49316,8.16804
COPS3,8.2284,8.323482,8.658657,8.333619,8.271023,8.345021,8.587891
RASD1,8.039672,8.533919,8.30923,8.301783,7.567086,7.984998,8.094147
PEMT,9.258491,9.572953,9.530441,9.527467,10.27948,9.859415,9.876341
SMCR5,5.02712,4.909995,4.709265,4.895603,4.661194,4.798913,4.743393
SREBF1,7.602788,7.81634,7.716616,7.654511,7.857509,7.969108,7.945451
ATPAF2,8.767553,8.652008,8.65511,8.650851,8.6108,9.068413,8.90391
