,patient_1,patient_2,patient_3,patient_4,patient_5,patient_6,patient_7
MT-TW,12.44879,12.00952,11.3767,11.81255,12.52129,10.44051,9.648583
FAM87B,5.274283,5.333667,5.268911,5.386065,5.412745,5.12304,5.3994
LINC01128,6.851241,7.186741,7.309896,6.972335,6.835893,7.07612,7.12984
SAMD11,7.039639,6.898051,6.956669,6.990489,6.992803,6.711484,7.038046
KLHL17,6.969383,7.186172,6.92802,6.920598,6.74019,6.780779,7.092916
PLEKHN1,7.26495,7.205801,7.205231,7.192934,7.031677,7.150862,7.27651
ISG15,6.672697,6.752956,6.981909,6.859232,6.829934,6.754261,6.656688
AGRN,8.181187,8.213867,8.871653,8.061165,8.161152,8.323472,7.993461
MIR200B,6.566747,6.632423,6.485383,6.436675,6.217794,6.204172,6.383605
MIR200A,4.125203,4.845417,4.60326,4.144578,4.427989,4.215594,5.112172
MIR429,6.148567,6.31733,6.03746,5.823208,6.387366,6.236471,6.069349
TTLL10,7.107468,7.199899,7.208455,7.139585,7.19126,7.167677,7.105867
B3GALT6,7.350735,7.500572,7.490457,7.350518,7.406363,7.420849,7.608183
SCNN1D,6.398828,6.744715,6.414073,6.417008,6.417063,6.414797,6.60811
PUSL1,7.246295,7.476955,7.76032,7.448449,7.346949,7.70405,7.592843
TAS1R3,6.734943,6.947131,6.832962,6.871634,6.745959,6.575788,6.795921
VWA1,7.996214,8.111466,8.072222,7.961494,7.882139,8.104224,8.093357
ATAD3C,6.644379,6.802651,7.051913,6.729705,6.719112,6.97418,7.077124
ATAD3A,7.854424,7.884506,8.184652,7.945227,7.69098,7.900551,8.122959
ATAD3B,7.28124,7.429115,7.813937,7.357107,7.371578,7.504634,7.59135
MIB2,7.154403,7.27073,7.178207,7.159151,6.970895,7.230093,7.336357
MMP23B,7.970472,7.942374,8.020503,7.968277,7.891349,7.678238,8.064393
CALML6,5.664056,5.89586,5.580761,5.502494,5.698837,5.756225,5.866568
GABRD,6.643632,6.968997,6.858945,6.880037,6.837128,6.499777,7.006366
PRKCZ,8.191073,8.132797,7.843328,8.353015,8.296637,8.620489,8.230666
SKI,8.851607,8.953207,9.042867,9.036859,9.069309,9.106487,9.206349
RER1,9.606646,9.635894,9.744667,9.695702,9.722891,9.871402,9.651904
PLCH2,7.831582,7.998087,7.272554,7.840339,7.983759,7.90167,7.673986
FAM213B,8.096509,8.078287,8.076472,7.97045,7.985898,8.205301,8.063076
ACTRT2,6.112339,6.103325,5.966846,5.886638,5.819954,5.9621,5.909843
PRDM16,6.948044,6.93839,6.964537,6.816298,7.169442,7.471797,7.533503
ARHGEF16,7.249502,7.328786,6.983606,7.161713,7.088472,7.264725,7.241373
TPRG1L,10.14066,10.17198,9.591219,9.909412,10.00994,10.13545,9.941084
TP73,6.525464,6.622492,6.687197,6.481128,6.559767,6.318086,6.515391
CCDC27,6.175177,6.19144,5.912543,6.166583,5.919544,5.709166,6.027352
DFFB,6.889298,7.278165,7.133934,7.047165,6.965427,7.472665,7.305957
AJAP1,7.660365,8.465358,8.037396,7.745041,7.533861,7.669753,7.22683
KCNAB2,9.006852,8.998783,7.798768,8.874726,8.767003,9.030989,8.427077
LINC00337,5.930153,6.117389,6.024764,5.739084,6.161163,5.808585,5.814317
HES3,6.435239,6.511263,6.550237,6.403182,6.243593,6.214062,6.505391
LOC100130071,6.733139,6.923202,6.607136,6.933337,6.780397,6.714546,6.581929
ESPN,8.879449,8.860842,8.77489,8.900156,9.100932,9.086783,8.906554
RNU6-731P,6.542526,6.687094,6.489696,6.689717,6.491455,7.093038,7.205615
TAS1R1,5.895532,5.891939,5.738187,5.4355,5.78362,5.572601,5.66928
ZBTB48,6.723244,6.968704,6.766129,6.618678,6.844681,6.802918,6.98892
PHF13,6.727342,6.710087,6.832259,6.373618,6.66222,6.620714,6.969684
THAP3,6.446904,6.583002,6.679621,6.380829,6.397954,6.642951,6.86889
CAMTA1,7.314916,7.07881,7.537186,7.021589,6.908564,7.066984,6.765428
RNU1-8P,4.700457,4.76544,4.454542,4.800401,4.776023,4.659055,4.768633
VAMP3,9.590598,9.685517,9.968116,9.716912,9.714099,9.672361,9.924215
PER3,8.040931,8.432365,6.981818,8.072963,8.422262,8.519835,8.688576
PARK7,10.22328,10.17046,10.24554,10.28375,10.17305,10.73317,10.67407
SLC45A1,6.633328,6.797768,6.534611,6.477585,6.246319,6.475658,6.567658
HMGN2P17,5.680122,5.758969,5.662347,5.565879,5.696144,5.222437,5.314181
CA6,5.412482,5.377982,5.031766,5.125572,5.205028,5.264886,5.238495
H6PD,7.905458,7.975605,8.278666,7.970414,8.025343,7.980465,8.187629
SPSB1,7.567026,7.399856,7.383569,7.149298,6.728192,7.367323,7.711382
TMEM201,6.566652,6.734769,6.732025,6.645141,6.693062,6.765446,6.901175
PIK3CD,7.020821,6.988263,7.180458,7.183518,6.904771,7.224971,6.948143
NMNAT1,6.486225,6.455201,6.556552,6.615428,6.189935,6.468677,6.38563
RN7SKP269,7.848309,8.163195,7.933489,7.940849,8.149124,7.581957,7.544345
RBP7,6.277579,6.029048,5.978566,5.989508,6.425212,6.482268,7.07443
UBE4B,8.923679,8.939645,8.928627,8.815183,8.870495,8.846298,8.909623
RNU6-828P,3.925883,3.951331,3.903043,3.720511,4.116888,3.980035,4.004094
KIF1B,8.895244,9.013865,8.686527,8.775479,9.002407,8.923206,8.686938
PGD,9.98434,10.204,10.52327,10.17236,10.00661,10.51314,10.47283
APITD1-CORT,6.951316,6.99261,6.573728,6.857044,7.108907,7.106343,6.87709
PEX14,7.70569,7.764687,7.649678,7.610184,7.687281,7.892615,7.838432
RN7SL614P,7.725567,8.008296,7.63948,7.943003,7.772888,7.280859,7.463582
TARDBP,9.912241,9.82551,9.917912,9.998137,10.01084,9.615433,9.845943
ANGPTL7,5.392702,5.693508,5.158785,5.435814,5.373371,5.638796,5.804783
RNU6-291P,3.925478,3.723128,3.874766,3.931199,3.829102,3.916935,4.121256
UBIAD1,7.925536,8.211936,8.445619,8.02458,8.166018,8.464185,8.533552
PTCHD2,6.22089,6.033643,6.054675,5.934868,6.08255,5.919852,5.814877
FBXO44,7.208051,7.315299,7.295516,7.106006,7.272487,7.492847,7.761049
FBXO6,6.989269,7.15401,7.117442,7.213579,7.159408,7.318051,7.246929
DRAXIN,7.596446,7.617911,7.13612,7.546354,7.429294,7.397256,7.390219
AGTRAP,8.849492,8.886801,8.946798,8.959788,8.624041,9.315396,9.333967
C1orf167,6.343254,6.67896,6.517838,6.470994,6.366592,6.063452,6.318514
CLCN6,8.905596,9.105524,8.63784,8.986985,8.94824,9.534575,9.270213
RNU5E-1,7.419082,7.925741,8.697573,7.04162,6.748836,7.635438,6.86164
PLOD1,9.702312,9.586467,9.368364,9.549205,9.520691,10.0061,9.694105
MFN2,9.408198,9.585194,9.531792,9.577775,9.671903,9.923211,10.10158
MIIP,7.363469,7.583417,7.724868,7.553867,7.450795,7.703613,7.784341
TNFRSF8,7.284825,7.550223,7.205471,7.249365,7.174592,6.887614,7.184354
TNFRSF1B,7.535161,7.224044,7.778322,7.80183,7.392847,7.51284,7.26868
VPS13D,8.584488,8.521593,8.146551,8.430548,8.679871,8.600298,8.356865
AADACL4,3.906862,4.38465,4.35891,3.738078,3.980461,3.869639,4.234536
AADACL3,5.242569,5.018411,4.642881,5.106059,4.827281,4.514781,4.979779
C1orf158,4.925028,5.405067,4.889927,5.116869,5.006348,5.241093,5.382624
PRAMEF12,5.720474,5.444808,5.50757,5.632878,5.66596,5.317945,5.505448
PRAMEF2,4.419378,4.431063,4.224702,4.358752,4.383523,3.999144,4.234326
PRAMEF25,5.576756,5.361695,5.382131,5.572368,5.528174,5.263309,5.394419
PDPN,6.46257,6.532583,6.647166,6.18423,6.116475,6.490644,7.11783
PRDM2,7.708053,7.546954,7.606772,7.745136,7.776523,7.667586,8.165416
TMEM51,7.793048,7.832029,8.236924,7.969546,7.898593,8.240577,8.085166
FHAD1,5.483452,5.345942,5.254235,5.507481,5.386428,5.295698,5.326375
EFHD2,7.412323,7.302538,7.748136,7.409422,6.830082,7.572056,7.310253
CTRC,5.583767,5.547523,5.379156,5.461988,5.344473,5.6121,5.535781
CELA2A,4.915785,5.223347,4.880114,5.208028,5.184715,4.88524,5.190153
CELA2B,5.402374,5.562447,5.476851,5.515184,5.244223,5.411477,5.64019
DNAJC16,9.383783,9.232895,9.407733,9.226239,9.229885,9.311295,8.950307
CHCHD2P6,7.413603,7.295905,7.375993,6.962129,7.373838,7.13067,7.096511
RSC1A1,8.681253,8.774417,8.380658,8.78359,8.793803,8.674966,8.459235
PLEKHM2,8.577396,8.716235,9.042446,8.658039,8.543356,9.100904,9.252732
SLC25A34,7.002934,7.413106,6.266938,7.382005,7.364821,7.232791,7.341825
TMEM82,7.557946,7.846555,7.138145,7.864651,7.619577,7.658037,7.711816
FBLIM1,6.875037,6.85172,7.444946,7.171026,7.074176,7.028506,7.966477
SPEN,8.435356,8.372913,8.158638,8.380828,8.685751,8.60472,8.594689
C1orf64,6.256111,6.216644,6.045757,6.330764,6.266797,5.776085,6.183311
CLCNKA,8.421841,8.21982,7.429735,8.400782,9.412125,9.572758,10.25551
CLCNKB,9.739047,9.631661,8.340363,9.930371,10.13295,10.27618,10.65695
SZRD1,9.216858,9.406037,9.75074,9.445492,9.301338,9.58923,9.769841
NECAP2,9.213789,9.215995,9.845653,9.174754,8.94583,9.520887,9.595856
CROCC,6.116574,6.154086,6.223044,6.267646,6.155527,6.289073,6.517192
PADI1,5.369988,5.530873,5.458948,5.454706,5.34602,5.344473,5.756656
PADI3,5.689769,6.005821,5.936759,5.823829,5.924069,5.790961,5.91282
PADI4,5.27491,5.478683,5.315493,5.127887,5.34369,5.086589,5.27711
PADI6,5.153061,5.316344,5.093906,5.21956,5.222341,4.832679,5.121272
ARHGEF10L,8.394504,8.505491,7.717788,8.074824,8.299454,8.481293,8.36215
ACTL8,5.861513,6.053476,5.774198,5.849597,5.557518,5.513634,5.676121
IGSF21,6.761877,6.516147,6.817843,6.627602,6.36648,6.619566,9.647388
KLHDC7A,8.137774,7.696096,7.756714,8.178343,7.660384,8.087583,7.793411
PAX7,6.037537,6.55936,6.145451,6.234135,5.912647,5.769857,6.089431
MRTO4,6.579784,6.851604,7.383384,6.589123,6.732602,7.229939,7.2169
PQLC2,7.545135,7.68548,7.80658,7.722016,7.620138,7.741717,7.88425
LOC644083,4.273651,4.606312,4.043552,4.511576,4.386821,3.899182,4.155249
RN7SL277P,9.038008,8.89541,8.357843,8.782193,8.604539,8.104029,8.157573
RNU4-28P,3.055047,3.063577,3.068609,2.950091,3.119282,3.187261,3.194587
MINOS1,8.617503,8.658708,8.633992,8.558412,8.688253,9.052014,9.04001
RPS14P3,7.326512,7.130944,7.491167,7.270032,7.15847,7.349283,7.128779
NBL1,8.176169,8.108814,8.441899,8.307976,7.908256,8.516601,8.984712
HTR6,6.534311,6.796596,6.562035,6.717233,6.433451,6.144991,6.552545
OTUD3,6.584131,6.462965,6.1529,6.31454,6.583537,6.47769,6.401109
RN7SL304P,6.64157,6.485838,6.232769,6.281742,6.354935,6.156352,6.136413
PLA2G5,6.317254,6.10365,6.142026,6.299377,6.232939,6.341344,6.13712
PLA2G2F,6.439069,6.409298,6.229947,6.393047,6.228623,6.378543,6.411856
UBXN10,7.022518,7.004828,6.820506,6.834559,6.747559,6.793692,7.152293
VWA5B1,6.490623,6.457148,6.389962,6.315699,6.311744,6.448074,6.224601
FAM43B,8.116428,7.950148,8.131553,7.972025,8.177938,7.888795,8.117587
CDA,7.532033,7.214463,6.875947,6.979919,7.062069,7.323983,7.273577
PINK1,8.743337,8.756481,8.318333,8.706645,8.706205,8.952639,8.901907
PPP1R11P1,7.532863,7.314566,7.593659,7.111801,7.124198,7.583829,7.450666
NBPF3,7.287425,7.190002,7.432437,7.264757,7.165154,7.299498,7.081514
ALPL,9.274169,9.767027,7.686422,9.263101,9.471354,10.03779,9.344323
LDLRAD2,6.651448,6.57829,6.746717,6.424784,6.514007,6.663926,6.67321
CELA3B,7.171687,7.435456,7.194425,7.291985,7.266794,7.122697,7.206927
RN7SL386P,4.542421,4.430936,4.314479,4.641445,4.363323,4.081245,4.44586
CELA3A,6.655995,6.803551,6.522419,6.747578,6.57744,6.212391,6.514455
RN7SL186P,4.460128,4.625564,4.770126,4.412506,4.538006,4.251086,4.737913
LINC00339,6.796865,6.753638,6.396482,6.534918,6.907245,7.107799,6.476504
CDC42,7.42081,7.282064,7.481036,7.421435,7.393511,7.282104,7.417215
ZBTB40,7.97198,7.941447,7.786875,7.955784,8.116507,8.220147,8.027099
EPHA8,6.015683,6.476579,6.031209,6.162231,6.087149,6.082184,6.268343
C1QA,6.337185,6.384587,7.151047,6.945134,5.855794,6.97187,6.499381
C1QC,8.59298,8.635115,9.728845,9.333758,7.947398,9.056208,8.577652
C1QB,9.214583,9.161866,10.17964,9.714163,8.47645,9.444907,9.060133
EPHB2,6.864575,6.794475,7.060686,7.118791,7.004257,6.836912,6.971118
KDM1A,8.415919,8.353503,8.848868,8.456741,8.516799,8.681627,8.854647
RNU6-514P,4.647258,4.7191,4.435422,4.688897,4.85334,5.288826,5.0349
RNU6-135P,5.354816,5.880665,5.469318,5.969325,5.60082,5.763386,6.257013
C1orf213,5.549886,5.691683,5.635453,5.621528,5.544202,5.632327,5.787674
MDS2,5.602337,5.960861,5.850385,6.048877,5.625076,5.523659,5.338265
RPL11,10.89862,11.00311,11.15121,10.89103,10.59878,10.72333,10.80729
TCEB3,8.232276,8.282256,8.435507,8.134484,8.130034,8.247069,8.314975
PITHD1,7.690337,7.456937,7.797369,7.802906,7.548896,7.753172,7.966917
GRHL3,5.81824,5.861641,5.892469,5.920509,5.965319,5.783348,5.878614
NIPAL3,7.848588,7.857587,8.157279,7.927002,8.143745,8.272334,8.226158
RCAN3,7.939779,7.869748,8.069432,7.960091,7.823957,7.854064,7.896461
NCMAP,6.811867,6.840141,6.800935,6.631826,6.717062,6.569612,6.281005
SRRM1,9.224248,9.374801,9.38949,9.319694,9.28036,9.379759,9.430623
CLIC4,11.79499,12.02092,11.73093,11.95458,11.78802,12.05175,12.03789
RHD,4.876663,5.300489,4.707708,5.055985,5.030817,5.030965,4.80925
TMEM50A,11.5573,11.6341,12.03671,11.75393,11.48433,11.58325,11.77122
TMEM57,9.140097,9.153575,9.291316,9.308143,9.10629,9.1795,9.039755
LDLRAP1,7.858621,7.719514,7.792638,7.866779,7.870571,8.180409,8.145223
MAN1C1,8.72807,8.886923,8.079113,9.046593,8.65606,9.005442,9.108421
SEPN1,9.097756,9.140212,9.50685,9.289318,9.060349,9.385925,9.392528
MTFR1L,9.742496,10.06154,9.479665,10.01893,9.76445,10.2431,10.07951
RNU6-110P,5.976149,6.508336,6.076822,6.271771,6.216036,5.955326,6.060609
EXTL1,6.192401,6.263871,6.108957,6.290555,6.272608,5.940586,6.255861
PDIK1L,6.819512,6.90059,6.590689,6.683867,6.658561,6.598029,6.858953
FAM110D,7.260104,7.273091,7.273091,7.227038,7.390472,7.151054,7.231185
ZNF593,7.460047,7.659287,7.329158,7.206795,7.247181,7.341894,7.456779
CNKSR1,6.78441,6.638926,6.369761,6.494435,6.663831,6.636348,7.008
CATSPER4,5.026362,4.977706,4.985554,5.352602,4.978877,5.151525,5.369818
CEP85,6.47454,6.088665,6.592746,6.332978,6.294224,6.461388,6.266918
SH3BGRL3,8.387952,8.506244,8.646636,8.437875,8.449776,8.535636,8.39853
CD52,7.486084,7.383243,6.957042,7.957404,6.520035,8.003225,7.162987
DHDDS,9.636978,9.598875,9.797122,9.760359,9.666545,10.18733,10.12728
RPS6KA1,8.676389,9.006456,9.18718,9.000074,8.505157,8.987771,8.546578
ARID1A,8.404624,8.502371,8.358448,8.60803,8.658171,8.734394,8.674317
PIGV,8.425246,8.295119,8.185544,8.258684,8.334792,8.771839,8.892661
RN7SL165P,3.678992,3.513193,3.832158,3.741883,3.463883,3.799839,3.792616
ZDHHC18,8.082885,8.110284,8.439449,8.174875,7.987274,8.152588,8.3688
SFN,6.783125,6.970427,7.858877,6.778275,7.0543,6.714111,6.758861
NUDC,8.048504,7.925639,8.362964,8.095952,7.904911,8.11721,8.242579
TRNP1,7.496138,7.737478,7.904908,7.622282,7.641127,7.632352,7.821951
WDTC1,8.313804,8.324722,8.192719,8.319094,8.197581,8.740031,8.807749
TMEM222,8.181493,8.150684,8.260053,8.156066,8.104858,8.953013,8.808737
SYTL1,6.207225,6.328226,6.134969,6.30988,6.1579,6.131265,6.152715
GPR3,7.372634,7.43422,7.451913,7.333674,7.322027,6.835519,7.250853
RNU6-424P,5.507574,5.457337,5.429611,5.363565,5.524303,5.599872,5.694022
FAM76A,7.857733,8.018367,7.916574,7.907017,7.804255,8.216041,8.220666
STX12,9.08569,8.890127,9.298028,9.043993,8.928239,9.030223,9.086415
RNU6-1245P,3.659341,3.542781,3.578067,3.584703,3.525873,3.205677,3.268205
PPP1R8,8.179737,8.171528,8.382048,8.265032,8.032998,8.590729,8.705249
SCARNA1,4.810301,4.850628,5.072401,4.621104,4.506546,5.00209,4.623037
THEMIS2,6.891448,6.66728,7.508372,7.365415,6.627319,7.547896,7.096323
SMPDL3B,7.812623,8.033692,8.668284,8.02634,7.104503,8.105291,7.919598
XKR8,7.04526,7.176777,7.362271,7.055784,7.121377,7.220777,7.379031
ATPIF1,8.436574,8.313093,8.089681,8.29575,8.338235,8.594123,8.490737
SESN2,8.389843,8.314359,8.398809,8.516652,8.371299,8.716105,8.274837
MED18,6.227293,6.436858,6.246256,6.226294,5.945658,6.18667,6.198527
PHACTR4,10.57513,10.57429,10.72282,10.41155,10.34838,10.49133,10.17841
RCC1,6.739712,6.832754,7.665008,7.043529,6.750714,7.032711,6.967812
SNORA73A,11.43864,11.06558,11.93116,10.9456,10.51301,10.85291,10.1385
TRNAU1AP,7.256288,7.464488,7.838459,7.551427,7.320617,7.628452,7.827644
RAB42,4.431486,4.613954,4.977271,5.010934,4.365552,4.456612,4.633512
RNU11,6.093462,6.337957,6.64012,6.356737,5.765364,6.543858,6.654407
GMEB1,7.312724,7.17887,7.58886,7.423211,7.363552,8.071984,8.031727
YTHDF2,8.597353,8.619927,8.930197,8.707385,8.687653,8.706647,8.617915
OPRD1,6.999318,7.082107,6.977892,7.179093,7.027557,6.688431,7.008736
EPB41,8.225054,7.955583,8.040494,8.172408,8.215525,8.199199,7.998862
PTPRU,6.713294,6.959827,6.669485,6.721123,6.867826,6.8824,7.602889
MATN1-AS1,5.958001,6.193535,5.775904,6.142075,5.823565,6.149121,6.091766
RN7SKP91,6.084144,6.314076,6.178423,6.176929,5.800411,5.618708,5.972097
ZCCHC17,7.364343,7.435165,7.075893,7.475105,7.501785,7.727484,7.936673
TINAGL1,8.574406,8.992364,10.43164,9.35793,9.030345,9.615943,9.324827
HCRTR1,6.075038,6.079056,5.73609,5.916612,6.128818,5.83466,5.886022
KHDRBS1,8.434515,8.63554,9.027945,8.731974,8.606714,8.638141,8.711282
TMEM39B,6.973277,7.184393,7.251868,6.969911,6.86647,7.261525,7.288341
KPNA6,9.445198,9.501644,9.635458,9.480641,9.508962,9.748211,9.549954
TXLNA,8.537796,8.39138,8.784213,8.632012,8.542121,8.852152,8.878399
CCDC28B,5.797615,6.055754,5.891938,5.830202,5.901234,5.91769,5.987558
IQCC,6.667859,6.898257,6.602307,6.661925,6.773916,6.467755,7.091613
EIF3I,9.925041,9.934917,10.23064,9.9169,9.906968,10.23264,10.29333
FAM167B,7.082282,7.509867,7.400254,7.495198,7.081785,7.799832,7.792197
LCK,7.2432,6.974262,6.89605,7.304972,6.765042,7.162306,7.018378
HDAC1,9.489458,9.492497,9.708444,9.457332,9.286281,9.636995,9.766155
TSSK3,5.905981,6.083436,5.970158,5.931738,5.974179,5.809385,6.107843
RN7SL122P,6.769483,6.874548,6.628242,6.76907,7.055647,6.743676,6.78408
ZBTB8A,7.106685,7.27672,7.400795,7.25901,7.217248,7.102477,7.292983
RBBP4,10.63825,10.50295,11.26267,10.69271,10.94117,10.66424,11.00006
KIAA1522,7.698371,7.769495,8.086252,7.775794,7.909149,8.134528,7.948324
S100PBP,7.671166,7.706604,7.890061,7.947225,8.120003,7.90384,7.818554
HPCA,6.349212,6.585805,6.354035,6.514295,6.233102,6.427424,6.314118
AZIN2,6.831452,6.999772,6.511746,6.959004,6.820657,7.24136,7.029363
ZSCAN20,6.222185,6.367718,6.297321,6.124985,6.244563,6.46555,6.412178
RNA5SP42,6.454024,6.40731,6.696323,6.847876,6.760619,6.568766,6.239082
C1orf94,5.515092,5.705207,5.23554,5.190908,5.173685,5.188471,5.497087
GJB5,5.713549,5.494876,5.451604,5.934974,5.544146,4.982375,5.329357
GJB4,5.593941,5.742714,5.532807,5.744658,5.648485,5.576616,5.841448
GJB3,5.290083,5.485384,5.403875,5.524741,5.29166,5.296955,5.319521
GJA4,7.355417,7.721346,7.912086,7.601151,7.591342,7.747982,7.814156
ZMYM1,7.306902,7.362467,7.585994,7.358474,7.547865,7.373866,7.259636
ZMYM4,9.842544,9.692645,10.09493,9.842435,9.91997,9.817906,9.804393
NCDN,7.892538,7.948277,8.211968,8.011248,7.919182,8.037719,8.273625
TFAP2E,7.688876,7.88245,7.6756,7.659893,7.688166,7.325709,7.694519
AGO4,7.156577,7.119484,7.592469,7.526472,7.225012,7.453819,7.651833
AGO1,8.69169,8.936695,8.489491,8.836782,8.855763,9.152972,9.062032
AGO3,8.558557,8.379331,8.119487,8.640026,8.741518,8.627449,8.153999
TEKT2,5.943062,6.053136,5.948118,6.016605,6.05902,6.361735,6.120212
ADPRHL2,7.296171,7.328251,7.46839,6.925703,6.901974,7.67226,7.384673
MAP7D1,8.107221,8.043131,8.352614,8.038745,8.25353,8.376698,8.399278
THRAP3,9.283315,9.372476,9.513314,9.335005,9.381552,9.211525,9.146709
SH3D21,7.053205,7.443539,7.22634,6.910863,7.313359,7.472403,7.446848
RNU6-636P,4.005896,3.931367,4.034156,4.061238,4.229439,4.391336,4.808494
ZC3H12A,7.139382,7.302479,7.357477,7.345764,7.057575,7.259169,7.28769
DNALI1,8.815622,8.865493,8.884381,8.795035,8.748271,9.25974,9.020734
CDCA8,5.572868,5.570013,6.954806,5.744009,5.604089,5.801152,5.848614
MANEAL,7.166539,7.309096,7.22463,6.969779,7.133665,7.421546,7.389092
C1orf122,8.066353,8.192133,8.150896,8.040749,7.847698,8.209798,8.474633
RNU6-584P,3.963911,4.025397,3.610023,3.733511,3.863914,3.610238,3.383333
UTP11L,8.155531,8.05381,8.577998,8.094622,8.180893,7.906764,8.093727
RNU6-753P,3.495886,3.474758,3.624648,3.523362,3.697771,3.833257,3.648324
RNU6-605P,3.617217,3.517691,3.413983,3.624502,4.048831,4.014599,3.547294
AKIRIN1,9.394077,9.483963,9.544162,9.491459,9.557033,9.832191,9.600483
NDUFS5,11.11782,11.03305,11.30779,11.07806,10.85284,11.48777,11.65442
MACF1,9.451026,9.292755,9.81061,9.343555,9.41139,9.269661,9.025576
BMP8A,6.064572,5.837423,6.167458,6.221859,6.195892,6.130273,6.181577
PPIE,7.753129,7.804104,7.692391,7.37371,7.758535,7.752494,7.965779
MFSD2A,6.700342,7.124717,7.238878,6.67914,6.452925,6.175381,6.516379
CAP1,10.73777,10.89624,11.25036,10.89857,10.84232,11.13646,11.27929
RLF,8.601607,8.642469,8.568398,8.721407,8.799553,8.756046,9.067985
RNU6-1237P,3.559331,3.729317,3.351484,3.588975,4.435799,3.545209,3.385963
TMCO2,4.155472,4.176952,4.21925,4.395203,4.185523,4.231379,4.221763
ZMPSTE24,10.45013,10.50517,10.76122,10.54726,10.36672,10.40324,10.63491
SMAP2,8.465814,8.241529,8.332707,8.646557,8.107296,8.461286,8.674797
ZFP69B,6.042542,5.886021,6.358315,6.196873,6.031823,6.048742,6.435265
ZFP69,5.979191,5.975355,6.539892,6.020346,6.094556,6.265351,6.161373
EXO5,7.295538,7.418306,7.461615,7.220566,7.32221,7.735693,7.452667
ZNF684,6.475444,6.52195,6.260719,6.180988,6.288568,6.451302,6.380997
NFYC,8.970341,8.79039,8.827226,8.98051,8.95386,9.191948,9.504796
MIR30E,6.505041,6.447604,5.651621,6.350113,6.937054,6.644155,6.603924
MIR30C1,4.435084,4.582384,4.064419,4.482089,4.523962,4.435084,4.338946
KCNQ4,5.778221,5.930831,5.488132,5.662285,5.692304,5.786587,6.994843
RN7SL326P,5.150078,4.909215,4.967629,5.347739,5.20792,4.474722,5.238097
CTPS1,7.363773,7.478209,7.728857,7.534609,7.438391,7.622789,8.71251
GUCA2B,6.901366,7.106473,6.836448,6.896037,6.927158,6.761721,6.964167
RIMKLA,7.398641,7.057307,7.584274,7.087313,6.897121,7.040717,7.145933
PPCS,9.099674,9.092649,9.065844,8.985017,9.045668,8.996022,8.752491
CCDC30,7.75808,7.388158,7.034524,7.71905,7.786121,7.378914,7.114338
PPIH,7.045202,7.047039,7.130229,7.143089,7.033549,7.422336,7.301337
YBX1,11.20519,11.41994,11.76024,11.24881,11.26921,11.44762,11.58359
C1orf50,7.218389,7.269182,6.914893,7.237863,7.346036,7.558142,7.211037
LOC100129924,5.839244,5.656344,5.567513,5.500205,5.674585,5.42602,5.589353
ERMAP,6.910313,7.273646,7.167316,7.217088,6.989342,7.266017,7.610023
ZNF691,6.817966,6.608878,6.815784,6.691048,6.771248,6.962864,7.134372
RNU6-880P,3.974415,4.021691,3.821135,4.145089,4.247698,4.02231,4.205539
FAM183A,6.041975,6.166264,6.046387,6.177565,6.04099,5.667995,6.193728
WDR65,5.532819,5.676703,5.552538,5.550923,5.568407,5.582799,5.708378
RNA5SP46,4.922154,4.920289,4.576687,5.059953,5.869028,5.333551,4.532648
TMEM125,7.358443,7.392132,6.809471,7.151167,7.242867,7.623391,7.769381
TIE1,7.370994,7.42549,7.101388,7.245503,7.43748,7.666229,7.820294
MPL,6.166795,6.052405,5.779555,5.869111,5.895722,5.788767,6.036992
CDC20,6.393091,6.35931,8.092435,6.609371,6.224607,6.463344,6.60523
SZT2,7.31113,7.345907,7.131812,7.174343,7.312438,7.661883,7.553914
PTPRF,8.717095,8.53359,9.04467,8.580994,8.801548,8.850247,8.652349
KDM4A,8.06919,7.986567,8.200608,7.997311,8.031014,8.11321,8.225033
ST3GAL3,7.139893,7.128477,7.257691,7.270157,7.433979,7.789818,7.552293
RNU6-1058P,3.254009,3.310781,3.315553,3.132719,3.309403,3.090516,3.374269
ARTN,6.408206,6.38253,6.341136,6.284314,6.296387,6.296636,6.364061
IPO13,8.86022,8.842195,8.436956,8.571897,8.413958,9.155983,8.719323
DPH2,7.11114,7.325689,7.620445,7.159777,7.16476,7.547046,7.470354
ATP6V0B,9.053757,9.211268,9.174498,9.091046,9.018624,9.567897,9.715565
B4GALT2,8.448689,8.607792,8.652966,8.374013,8.40224,8.739992,9.038755
CCDC24,6.854023,6.992171,6.811071,6.865934,6.8494,7.120422,7.298973
KLF17,5.486215,5.630269,5.642334,5.515998,5.516012,5.421272,5.651667
DMAP1,7.739013,7.710728,7.738009,7.75449,7.762431,8.043356,8.123517
RNU6-369P,3.21806,3.207231,3.144108,3.081421,3.058601,3.197497,3.370321
RNF220,8.254951,8.351112,8.535031,8.237307,8.240515,8.692702,8.717603
C1orf228,6.03852,6.148974,6.04223,6.005971,6.427673,6.100894,6.274378
KIF2C,5.356915,5.646922,6.42683,5.510111,5.521466,5.608118,5.550211
RPS8,10.15404,10.03064,10.73843,10.34405,10.00839,10.62477,10.69182
SNORD55,6.782464,7.269808,7.40813,6.735256,6.606892,7.289807,7.532081
SNORD46,9.600406,9.796904,9.689508,9.412038,8.759213,9.234875,9.855936
SNORD38A,4.721478,4.845417,5.268049,4.770126,4.885705,4.919482,4.849985
